date,transformer,a2c,ppo,td3,sac,ddpg
2023-11-13,1005773.7191335585,961540.5730943909,1039054.7226754191,982388.8319608078,973328.7613052488,1009190.8794687747
2023-11-14,1018294.3441335585,971418.3230943909,1049976.3538662225,996865.2069608078,987724.8238052488,1018844.6294687747
2023-11-15,1023257.4066335585,978652.5730943909,1051426.748135937,1002402.6444608078,992842.5113052488,1025577.2544687747
2023-11-16,1020319.7326405699,975125.7605943909,1058147.748135937,1005580.0194608078,992659.6988052488,1018084.4419687747
2023-11-17,1022742.9262379324,976461.2605943909,1053008.998135937,1005072.6444608078,995542.6988052488,1014330.3794687747
2023-11-20,1041357.5297244589,985105.5730943909,1059376.998135937,1014626.6444608078,1010799.3336801878,1024138.4419687747
2023-11-21,1042585.7775773909,986700.8855943909,1059251.123135937,1012029.2069608078,1008629.3225640112,1022502.8169687747
2023-11-22,1048795.902577391,991662.7605943909,1067572.373135937,1015031.2694608078,1012379.5725640112,1028932.0044687747
2023-11-24,1051560.652577391,995954.0105943909,1068821.3530547298,1018134.7694608078,1011781.3225640112,1032651.6294687747
2023-11-27,1049926.152577391,994387.9480943909,1066982.2280547298,1016564.7069608078,1009873.5100640112,1029270.8794687747
2023-11-28,1053883.402577391,995342.8230943909,1068574.3530547298,1018904.6444608078,1014351.0100640112,1033553.6919687747
2023-11-29,1059692.277577391,998888.0730943909,1061722.6030547298,1023386.9569608078,1015068.8225640112,1035500.5044687747
2023-11-30,1078795.277577391,1011095.7605943909,1075988.9780547298,1041398.4569608078,1026523.1350640112,1054298.0669687747
2023-12-01,1087461.402577391,1021652.8230943909,1074063.6030547298,1050863.0194608078,1034587.5100640112,1060743.4419687747
2023-12-04,1091298.152577391,1026381.0730943909,1069722.8530547298,1044793.2069608078,1032179.6350640112,1062215.0669687747
2023-12-05,1089191.152577391,1022806.6980943909,1077700.9780547298,1060939.8944608078,1049348.4475640112,1058884.6919687747
2023-12-06,1092936.902577391,1023268.1355943909,1074066.3530547298,1041660.5819608078,1038466.1260896841,1058470.0669687747
2023-12-07,1093461.902577391,1021845.1355943909,1077689.9553524668,1044716.0819608078,1043800.0635896841,1061618.4419687747
