date,transformer,a2c,ppo,td3,sac,ddpg
2024-02-21,1007860.8923339637,1017789.1561103594,1028724.461037136,1029907.3034724025,1032452.3137057801,966916.1226484033
2024-02-22,1020430.9548339637,1026792.2186103594,1045328.711037136,1045236.6159724025,1041861.8804153672,973046.3101484033
2024-02-23,1020275.0781044218,1027830.7811103594,1040509.302544815,1048022.8659724025,1035584.4244398728,977543.7476484033
2024-02-26,1015949.9248361362,1022962.9061103594,1038180.229725605,1047189.1784724025,1036361.7824981614,971555.4351484033
2024-02-27,1017513.0147597392,1024536.0936103594,1035185.667225605,1045501.4284724025,1042059.8585759469,958860.0601484033
2024-02-28,1025780.7815075191,1027086.7186103594,1028042.604725605,1049329.6784724025,1049093.031191456,956477.9351484033
2024-02-29,1022218.7836818583,1025509.0936103594,1027695.6871911201,1054063.5534724025,1047654.3794134103,948768.4976484033
2024-03-01,1019939.5846920875,1023941.2811103594,1026956.8746911201,1061725.6784724025,1043442.7890601541,953485.4351484033
2024-03-04,1021545.4581960357,1024871.7811103594,1013815.3121911201,1062530.3034724025,1038143.4140601541,952749.8726484033
2024-03-05,1014504.7703952945,1019928.2186103594,994316.1871911201,1047022.1784724025,1032089.9140601541,944854.3101484033
2024-03-06,1020025.0365961993,1022624.7186103594,992568.1246911201,1052592.1784724025,1030798.4140601541,947983.0601484033
2024-03-07,1026024.0763822024,1024779.7811103594,998234.4371911201,1055745.4284724025,1031759.3754802743,948183.2476484033
2024-03-08,1023856.0716182903,1025132.2186103594,997599.0621911201,1055010.3034724025,1032141.6034395334,946625.8101484033
2024-03-11,1005517.2660867732,1021528.3436103594,1005837.6871911201,1049756.3034724025,1022330.760232441,944080.6851484033
2024-03-12,1002314.2314628719,1023784.2811103594,1015728.2695230026,1055510.9284724025,1016586.760232441,941114.5601484033
2024-03-13,999710.8294245532,1027335.2811103594,1013571.8320230026,1054588.5534724025,1016767.010232441,939163.3101484033
2024-03-14,995181.6992473472,1019318.9686103594,1021417.0195230026,1049761.4284724025,1011170.3527550469,929572.8726484033
2024-03-15,992715.352246363,1017758.5311103594,1014199.8945230026,1043991.2409724025,1012220.0402550469,927520.3101484033
2024-03-18,990289.164746363,1016744.2186103594,1014649.5195230026,1049869.6784724025,1011881.9777550469,926967.8101484033
2024-03-19,998562.977246363,1023407.7186103594,1026583.3945230026,1055773.1784724025,1022833.5402550469,933112.6851484033
2024-03-20,1014804.306440718,1033264.4686103594,1035134.7070230026,1066847.6784724025,1041711.9152550469,941735.6226484033
2024-03-21,1015321.806440718,1033567.9686103594,1030313.8320230026,1074193.0534724025,1040347.8478725053,945793.3726484033
2024-03-22,1011496.2117957595,1025037.4061103594,1025189.1445230026,1067241.5534724025,1037777.7396993486,943793.4976484033
2024-03-25,1011495.5001287578,1026664.3436103594,1014666.8945230026,1065462.3034724025,1034994.3021993486,949049.4976484033
2024-03-26,1007054.1251287578,1023616.9061103594,1014378.5195230026,1065557.1784724025,1027286.6771993486,950004.6226484033
2024-03-27,1022855.2501287578,1039482.9061103594,1021217.3945230026,1077999.3034724025,1047404.9896993486,964346.3101484033
2024-03-28,1025180.6852181056,1043365.2186103594,1018561.4570230026,1079354.6784724025,1046613.9271993486,964138.1851484033
2024-04-01,1016148.3727181056,1039280.7186103594,1011166.6445230026,1074284.243931486,1030440.8646993486,955673.9976484033
2024-04-02,1010856.1452794803,1036306.4686103594,990485.2695230026,1069757.868931486,1022954.4271993486,934879.5601484033
2024-04-03,1003021.5079736484,1030126.8436103594,989056.2070230026,1066831.118931486,1015425.7396993486,929645.3726484033
2024-04-04,992260.597783192,1019397.7186103594,981660.5195230026,1050230.743931486,1006106.4896993486,917124.2476484033
2024-04-05,998493.597783192,1024597.5936103594,988739.1445230026,1062791.618931486,1009338.0411052286,920970.4976484033
2024-04-08,995668.535283192,1023215.1561103594,988133.7695230026,1058676.493931486,1007954.9164955979,918893.4351484033
2024-04-09,990352.222783192,1020955.3436103594,992013.1445230026,1058089.243931486,1006239.7289955979,916931.7476484033
2024-04-10,977976.72135899,1011417.2811103594,977879.0581829109,1047689.306431486,990397.2683128549,903853.3726484033
2024-04-11,978120.7969836314,1009800.0936103594,985510.2456829109,1049797.368931486,997031.0373834154,903873.5601484033
2024-04-12,965825.5469836314,998697.0936103594,981109.8706829109,1032518.118931486,981768.4123834154,894154.3101484033
2024-04-15,955878.8594836314,993249.4061103594,970611.8706829109,1016637.806431486,970450.1623834154,891063.8101484033
2024-04-16,959268.3197060741,992321.0311103594,976700.8081829109,1016078.806431486,965135.9748834154,899574.3101484033
2024-04-17,956553.2232192595,984100.2811103594,978398.3706829109,1012958.931431486,960920.2248834154,894842.7476484033
2024-04-18,953190.7227438834,986883.7186103594,979395.6778600082,1007828.681431486,960805.4123834154,898527.3101484033
2024-04-19,954051.9336025851,992901.9061103594,978055.651485794,1010191.681431486,963187.7248834154,911611.3101484033
2024-04-22,958696.0728818992,997376.4686103594,976936.776485794,1018023.056431486,967294.7248834154,913738.2476484033
2024-04-23,960180.8228818992,999406.4061103594,981587.651485794,1026006.618931486,971798.9331103517,914060.9976484033
2024-04-24,952808.8075724337,996830.0936103594,984269.338985794,1024990.243931486,966080.9956103517,909597.2476484033
