duration,num_updates,action_loss,eval_avg_reward,eval_avg_ep_len,eval_d4rl_score
0:00:08,100,1.1162303066253663,68.1727223785636,104.0,34.0863611892818
0:00:12,200,1.102541531920433,66.94833929248027,104.0,33.474169646240135
0:00:15,300,1.0814311319589616,65.47611079723735,104.0,32.73805539861868
0:00:18,400,1.0465539342164993,59.12438661244297,104.0,29.562193306221484
0:00:21,500,0.9983237606287002,52.80596942598946,104.0,26.40298471299473
0:00:25,600,0.9500248467922211,32.06120750301448,104.0,16.03060375150724
0:00:28,700,0.8943111032247544,17.700036235613954,104.0,8.850018117806977
0:00:32,800,0.8428004342317581,7.269268643266514,104.0,3.6346343216332575
0:00:35,900,0.7922016215324402,4.409676121592236,104.0,2.204838060796118
0:00:38,1000,0.7473904317617417,-0.8736855928003934,104.0,-0.4368427964001967
0:00:42,1100,0.7117623054981231,-5.001547275005976,104.0,-2.500773637502988
0:00:45,1200,0.6755158466100692,-10.201474729516928,104.0,-5.100737364758464
0:00:48,1300,0.6445866906642914,-9.056327828296066,104.0,-4.528163914148033
0:00:52,1400,0.6106520086526871,-12.873181366390236,104.0,-6.436590683195117
0:00:55,1500,0.5786175534129143,-14.816988355033317,104.0,-7.408494177516658
0:00:58,1600,0.5449074456095695,-16.250891129825884,104.0,-8.125445564912942
0:01:02,1700,0.5180639094114303,-16.118860540998202,104.0,-8.059430270499101
0:01:04,1800,0.49154976189136507,-13.438703470254456,104.0,-6.719351735127228
0:01:08,1900,0.4663797628879547,-15.068359425025545,104.0,-7.534179712512773
0:01:11,2000,0.4488914203643799,-14.395048542750095,104.0,-7.197524271375047
0:01:13,2100,0.429614996612072,-13.878542638379002,104.0,-6.939271319189501
0:01:17,2200,0.41345568031072616,0.034769579614436455,104.0,0.017384789807218227
0:01:20,2300,0.39578905671834946,11.575695704395418,104.0,5.787847852197709
0:01:23,2400,0.38804530531167986,20.00674827338026,104.0,10.00337413669013
0:01:26,2500,0.3701208406686783,22.518643223096188,104.0,11.259321611548094
0:01:29,2600,0.3624551126360893,22.821968181964962,104.0,11.410984090982481
0:01:31,2700,0.3544590847194195,22.096985920898238,104.0,11.048492960449119
0:01:35,2800,0.34187225699424745,21.746026657013722,104.0,10.873013328506861
0:01:38,2900,0.33917429238557817,24.13569049428625,104.0,12.067845247143126
0:01:41,3000,0.32863388359546664,23.026463196450827,104.0,11.513231598225413
0:01:44,3100,0.3273976634442806,23.251007506111684,104.0,11.625503753055842
0:01:47,3200,0.31684111461043357,23.10243833772497,104.0,11.551219168862485
0:01:50,3300,0.3141715456545353,23.96974764848027,104.0,11.984873824240134
0:01:53,3400,0.30922444254159925,20.780181371260284,104.0,10.390090685630142
0:01:57,3500,0.30466509953141213,19.90789240857532,104.0,9.95394620428766
0:02:00,3600,0.30209764644503595,21.44669146127876,104.0,10.72334573063938
0:02:03,3700,0.2980441977083683,23.237649586176882,104.0,11.618824793088441
0:02:07,3800,0.2925040528178215,23.840540881985028,104.0,11.920270440992514
0:02:10,3900,0.2918950888514519,25.702593422831626,104.0,12.851296711415813
0:02:13,4000,0.28802471175789834,25.82111061642084,104.0,12.91055530821042
0:02:17,4100,0.28184352040290833,29.1891270048906,104.0,14.5945635024453
0:02:20,4200,0.2830825987458229,27.888491987073444,104.0,13.944245993536722
0:02:24,4300,0.2780301782488823,29.355116324768126,104.0,14.677558162384063
0:02:27,4400,0.2776402969658375,25.37600734042415,104.0,12.688003670212074
0:02:30,4500,0.27491688504815104,31.809934092291304,104.0,15.904967046145652
0:02:33,4600,0.27308040991425514,26.98770082176719,104.0,13.493850410883596
0:02:36,4700,0.2683027224242687,25.533705319831704,104.0,12.76685265991585
0:02:40,4800,0.2685800203680992,21.298791722889412,104.0,10.649395861444706
0:02:43,4900,0.26767091363668444,25.176641295116475,104.0,12.588320647558238
0:02:46,5000,0.2658551649749279,29.162633776364657,104.0,14.581316888182327
0:02:49,5100,0.26440527111291884,24.452479545996617,104.0,12.226239772998309
0:02:52,5200,0.261054965108633,20.03563046009229,104.0,10.017815230046144
0:02:56,5300,0.25987192332744596,18.45307456319125,104.0,9.226537281595625
0:02:59,5400,0.26156857699155805,22.732469622175035,104.0,11.366234811087518
0:03:02,5500,0.25384086385369303,20.28124386995834,104.0,10.14062193497917
0:03:05,5600,0.25710140183568003,23.691026567705215,104.0,11.845513283852608
0:03:09,5700,0.2519378547370434,16.421010538384685,104.0,8.210505269192343
0:03:12,5800,0.2491590888798237,13.687452643306369,104.0,6.843726321653184
0:03:15,5900,0.25087307497859,15.535584428101753,104.0,7.767792214050877
0:03:18,6000,0.251324944794178,12.284595707925622,104.0,6.142297853962811
0:03:21,6100,0.24716672509908677,10.332318447099203,104.0,5.166159223549601
0:03:24,6200,0.2481865841150284,9.921206267960788,104.0,4.960603133980394
0:03:27,6300,0.2441427332907915,9.546546297990824,104.0,4.773273148995412
0:03:30,6400,0.24525821924209595,16.611031933497593,104.0,8.305515966748796
0:03:33,6500,0.2428771263360977,8.260077007240005,104.0,4.1300385036200025
0:03:35,6600,0.24041223481297494,8.751683162494919,104.0,4.375841581247459
0:03:38,6700,0.2386437711119652,6.92285567701453,104.0,3.4614278385072654
0:03:41,6800,0.23837924048304557,11.435490204377697,104.0,5.717745102188848
0:03:44,6900,0.23852141425013543,7.564974886696308,104.0,3.7824874433481535
0:03:47,7000,0.23721418291330337,9.596237143242615,104.0,4.798118571621307
0:03:49,7100,0.23611573070287706,15.083023712311649,104.0,7.541511856155825
0:03:52,7200,0.2348457854986191,0.39766857800387356,104.0,0.19883428900193678
